kepid,kepoi_name,koi_disposition,koi_score,koi_period,koi_prad,koi_teq,koi_insol,koi_steff,koi_srad,koi_slogg,koi_kepmag,rho_p,Pmin_day,planet_type,is_habitable
4478142,K05067.01,1,0.898,219.931324,2.3,279.0,1.43,5557.0,0.912,4.5,14.254,3.0,0.30310889132455354,intermediate,False
6805414,K05329.01,1,0.999,200.2350497,10.99,325.0,2.63,6108.0,0.997,4.471,15.392,1.0,0.525,gas_giant,False
6869373,K05331.01,1,0.884,31.5034587,1.17,484.0,13.02,5269.0,0.823,4.567,15.164,5.5,0.22386075217339096,rocky,False
6875342,K05332.01,1,0.894,22.2381062,1.09,702.0,57.27,6192.0,1.055,4.433,14.296,5.5,0.22386075217339096,rocky,False
6879183,K05333.01,1,0.98,20.5477769,1.67,690.0,53.65,5922.0,1.057,4.429,15.529,3.0,0.30310889132455354,intermediate,False
4566848,K05071.01,1,0.986,180.4118581,8.86,329.0,2.77,6032.0,0.973,4.485,15.656,1.0,0.525,gas_giant,False
4760478,K05084.01,2,0.988,287.377314,11.67,350.0,3.56,5548.0,1.793,3.964,15.756,1.0,0.525,gas_giant,False
5859725,K05207.01,1,0.973,18.9828305,0.72,707.0,59.15,5962.0,1.035,4.443,13.048,5.5,0.22386075217339096,rocky,False
6776555,K05327.01,1,1.0,5.43361347,2.09,548.0,21.27,3694.0,0.566,4.686,15.808,3.0,0.30310889132455354,intermediate,False
3101178,K04963.01,1,0.858,59.4037839,1.65,570.0,24.93,6373.0,1.209,4.256,11.679,3.0,0.30310889132455354,intermediate,False
5946568,K05211.01,1,0.992,3.5645249,0.6,1029.0,265.37,5435.0,0.824,4.578,12.936,5.5,0.22386075217339096,rocky,False
7009548,K05341.01,1,0.929,15.18575582,2.26,922.0,170.46,6311.0,1.339,4.207,12.493,3.0,0.30310889132455354,intermediate,False
3340165,K04972.01,1,0.87,26.092284,1.35,717.0,62.57,6346.0,1.214,4.362,13.98,5.5,0.22386075217339096,rocky,False
4912650,K05098.01,1,0.923,100.345648,1.57,325.0,2.62,5180.0,0.8,4.548,14.855,5.5,0.22386075217339096,rocky,False
6025174,K05224.01,1,0.831,171.028691,2.49,376.0,4.72,6123.0,1.252,4.332,14.892,3.0,0.30310889132455354,intermediate,False
4918303,K05104.01,1,0.999,21.1579573,1.63,682.0,51.22,6063.0,1.012,4.476,15.531,3.0,0.30310889132455354,intermediate,False
3553900,K04992.01,1,0.969,12.5747207,1.45,693.0,54.46,5654.0,0.774,4.59,15.133,5.5,0.22386075217339096,rocky,False
5027859,K05117.01,1,0.984,33.3726538,1.95,491.0,13.7,5504.0,0.796,4.583,15.986,3.0,0.30310889132455354,intermediate,False
6184894,K05245.01,2,1.0,7.20281185,3.06,794.0,93.79,5388.0,0.717,4.56,13.028,1.6,0.4150489428970998,neptune_like,False
3646449,K04999.01,1,0.979,65.752109,2.0,458.0,10.36,5816.0,1.03,4.432,15.478,3.0,0.30310889132455354,intermediate,False
6203955,K05249.01,1,0.954,19.4534296,1.25,744.0,72.59,6372.0,1.015,4.453,14.518,5.5,0.22386075217339096,rocky,False
6026438,K02045.03,2,0.992,16.9348104,1.31,508.0,15.77,4650.0,0.706,4.589,15.549,5.5,0.22386075217339096,rocky,False
11360805,K02422.02,1,0.852,57.3888262,1.88,406.0,6.41,5242.0,0.856,4.512,14.803,3.0,0.30310889132455354,intermediate,False
3758499,K05007.01,1,0.975,14.5168151,1.82,1030.0,265.78,5934.0,1.885,3.945,13.698,3.0,0.30310889132455354,intermediate,False
8753896,K02473.03,2,0.94,14.5123622,2.08,636.0,38.6,5094.0,0.87,4.469,15.77,3.0,0.30310889132455354,intermediate,False
11177676,K03281.01,2,0.958,47.0320478,1.98,492.0,13.83,5370.0,1.055,4.337,14.904,3.0,0.30310889132455354,intermediate,False
7672215,K05411.01,1,0.903,11.1734401,1.4,1279.0,632.06,7372.0,1.752,4.142,13.335,5.5,0.22386075217339096,rocky,False
9391817,K05663.01,1,0.965,140.884533,1.52,392.0,5.6,5960.0,1.213,4.306,13.06,5.5,0.22386075217339096,rocky,False
10394802,K05790.01,1,0.803,178.266978,3.71,241.0,0.8,4899.0,0.713,4.624,15.518,1.6,0.4150489428970998,neptune_like,False
